"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"December"	"12"	"43 weeks"	"43"	301
	"2007"	"2007"	"December"	"12"	"44 weeks"	"44"	147
	"2007"	"2007"	"December"	"12"	"45 weeks"	"45"	83
	"2007"	"2007"	"December"	"12"	"46 weeks"	"46"	26
	"2007"	"2007"	"December"	"12"	"47 weeks"	"47"	17
	"2007"	"2007"	"December"	"12"	"Unknown or Not Stated"	"99"	23
"Total"	"2007"	"2007"	"December"	"12"			19733
"Total"	"2007"	"2007"					243373
	"2008"	"2008"	"January"	"1"	"17 weeks"	"17"	Suppressed
	"2008"	"2008"	"January"	"1"	"18 weeks"	"18"	Suppressed
